Case,Category,Design_feature,Tier1_strategy,Tier2_strategy,Sustainability_justification,SCAMPER_technique,Creativity_justification,Link
BioPak,"Food, Beverages and Tobacco",Compostable foodservice packaging,Next-Best Material Selection,Renewable and biodegradable material,"This feature directly addresses the selection of materials that are designed to break down naturally, aligning with the principles of renewable and biodegradable material selection.",Substitute,"The design substitutes traditional, non-biodegradable packaging materials with compostable alternatives, representing a core substitution strategy.",https://www.ellenmacarthurfoundation.org/circular-examples/closing-the-loop-on-single-use-food-packaging
BioPak,"Food, Beverages and Tobacco",Made from renewable plant-based materials,Next-Best Material Selection,Renewable and biodegradable material,"By utilizing plant-based materials, the product inherently relies on renewable resources, fulfilling the 'Renewable and biodegradable material' sub-strategy.",Substitute,"This feature is a direct result of substituting conventional petroleum-based or non-renewable materials with renewable, plant-derived ones.",https://www.ellenmacarthurfoundation.org/circular-examples/closing-the-loop-on-single-use-food-packaging
BioPak,"Food, Beverages and Tobacco",Part of a circular system,Circularity,Enable material traceability,"Being part of a circular system implies a focus on keeping materials in use and ensuring their end-of-life is managed, which often necessitates material traceability.",Combine,"This feature arises from combining the product's design with a broader system of collection and processing, creating a synergistic circular loop.",https://www.ellenmacarthurfoundation.org/circular-examples/closing-the-loop-on-single-use-food-packaging
BioPak,"Food, Beverages and Tobacco",Includes a collection and composting service (Compost Connect),Circularity,Design for end-of-life collection,"The inclusion of a dedicated service for collection and composting directly facilitates the proper end-of-life management of the product, aligning with 'Design for end-of-life collection'.",Combine,"This feature combines the physical product with a service component, creating a more complete and functional circular solution.",https://www.ellenmacarthurfoundation.org/circular-examples/closing-the-loop-on-single-use-food-packaging
Repeat,Electronics,Modular design,Longevity and Effective Usage,Design for upgradability and adaptability,"A modular design allows for individual components to be replaced or upgraded, extending the product's lifespan and reducing the need for complete replacement.",Combine,Modular design is achieved by combining different functional units that can be easily assembled and disassembled.,https://www.ellenmacarthurfoundation.org/circular-examples/gerrard-street
Repeat,Electronics,85% of components reusable,Circularity,Design for reuse,A high percentage of reusable components directly supports the circular economy by enabling components to be reintegrated into new products.,Substitute,This feature is adopted by substituting single-use components with ones that can be easily recovered and reused.,https://www.ellenmacarthurfoundation.org/circular-examples/gerrard-street
Repeat,Electronics,Durable design,Longevity and Effective Usage,Design to last,"A durable design ensures the product withstands wear and tear, leading to a longer operational life and reduced waste.",Modify,Durable design is achieved by modifying materials and construction to increase strength and resilience.,https://www.ellenmacarthurfoundation.org/circular-examples/gerrard-street
Repeat,Electronics,Standardised designs,Green Supply Chain,Standardisation and modularity,"Standardized designs simplify manufacturing, repair, and component sourcing, leading to more efficient and less wasteful processes.",Rearrange,"Standardized designs are developed by rearranging and simplifying existing design elements into common, interchangeable parts.",https://www.ellenmacarthurfoundation.org/circular-examples/gerrard-street
Dopper Insulated,Home and Garden,Keeps drinks hot for 9 hours,Product efficiency,Energy consumption efficiency,"By maintaining temperature for extended periods, the product reduces the need for reheating, thus conserving energy.",Modify,The ability to keep drinks hot for a long time is achieved by modifying the insulation properties of the container.,https://www.gp-award.com/en/produkte/dopper-insulated
Dopper Insulated,Home and Garden,Keeps drinks cold for 24 hours,Product efficiency,Energy consumption efficiency,"The extended cold retention minimizes the need for refrigeration or ice, leading to reduced energy consumption.",Modify,The extended cold retention is a modification of the container's thermal insulation capabilities.,https://www.gp-award.com/en/produkte/dopper-insulated
Dopper Insulated,Home and Garden,Made from 90% recycled stainless steel,Next-Best Material Selection,Recycled material,Utilizing a high percentage of recycled stainless steel diverts waste from landfills and reduces the demand for virgin materials.,Substitute,The material choice is a substitution of virgin stainless steel with a recycled alternative.,https://www.gp-award.com/en/produkte/dopper-insulated
Dopper Insulated,Home and Garden,Durable,Longevity and Effective Usage,Design to last,"A durable product has a longer lifespan, reducing the frequency of replacement and associated resource consumption.",Modify,Durability is enhanced through modifications to the material and construction of the product.,https://www.gp-award.com/en/produkte/dopper-insulated
